AssocID,CaseID,SectionID
1,269,33
2,310,32
3,709,31
4,709,32
5,930,33
6,1222,33
7,1259,33
8,1804,32
9,1898,33
10,1994,32
11,2391,32
12,2727,31
13,2727,32
14,2881,33
15,4162,11
16,4281,11
17,4485,11
18,4957,11
19,4959,12
20,5509,12
21,5509,11
22,6109,12
23,6109,11
24,6197,11
25,6210,12
26,6263,11
27,6456,11
28,6858,11
29,8207,11
30,8225,11
31,8356,12
32,8458,11
33,8501,19
34,8514,20
35,8514,19
36,8526,19
37,8536,19
38,8539,19
39,8565,20
40,8572,20
41,8578,19
42,8587,20
43,8591,19
44,8599,19
45,8611,19
46,8624,20
47,8640,19
48,8645,19
49,8671,20
50,8690,20
51,8697,19
52,8714,19
53,8715,19
54,8718,19
55,8728,19
56,8743,19
57,8753,20
58,8754,20
59,8754,19
60,8763,20
61,8763,19
62,8789,20
63,8809,20
64,8811,19
65,8834,19
66,8838,19
67,8838,20
68,8858,19
69,8864,20
70,8864,19
71,8929,19
72,8942,19
73,8960,20
74,8966,19
75,8967,20
76,8967,19
77,8970,19
78,8973,19
79,9005,19
80,9009,19
81,9020,19
82,9031,20
83,9033,19
84,9043,19
85,9047,20
86,9047,19
87,9051,19
88,9056,19
89,9067,19
90,9069,19
91,9075,20
92,9075,19
93,9080,19
94,9105,19
95,9106,20
96,9111,19
97,9124,20
98,9124,19
99,9157,20
100,9161,20
101,9167,20
102,9169,19
103,9358,19
104,9603,19
105,9648,20
106,10232,19
107,10596,20
108,10800,19
109,10800,20
110,10859,20
111,10859,19
112,10878,19
113,11506,20
114,11565,19
115,11864,20
116,11889,20
117,12162,20
118,12407,20
119,12656,20
120,13314,8
121,13621,9
122,13621,8
123,13709,34
124,13719,41
125,13797,5
126,13866,16
127,14100,34
128,14107,41
129,14260,16
130,14568,16
131,14624,4
132,14640,5
133,14759,16
134,14858,4
135,15439,1
136,15455,7
137,15494,9
138,15543,34
139,15659,34
140,15672,24
141,15686,24
142,15975,15
143,16354,2
144,16362,9
145,16556,6
146,16556,5
147,17045,16
148,17145,24
149,17296,41
150,17401,34
151,17976,16
152,18099,42
153,18114,13
154,18212,7
155,18282,5
156,18482,6
157,18726,4
158,18729,42
159,18929,6
160,19077,7
161,19290,4
162,19551,16
163,20172,10
164,20191,22
165,20191,21
166,20515,22
167,20555,24
168,20861,24
169,21001,13
170,21039,13
171,21056,41
172,21688,34
173,21808,13
174,21972,1
175,22174,21
176,22287,10
177,22481,43
178,23051,36
179,23070,13
180,23184,13
181,23475,17
182,23538,16
183,23608,18
184,23732,10
185,23997,15
186,24019,9
187,24030,16
188,24058,16
189,24619,35
190,24622,4
191,24742,34
192,24907,5
193,25299,39
194,25367,40
195,25486,16
196,25734,43
197,26011,8
198,26159,39
199,26351,41
200,26503,24
201,26682,34
202,27123,38
203,27123,37
204,27318,13
205,27439,6
206,28048,8
207,28048,9
208,28203,24
209,28842,24
210,28850,41
211,29031,40
212,29463,6
213,29666,22
214,29823,7
215,29981,7
216,30208,42
217,30208,43
218,30211,24
219,30641,5
220,30756,1
221,30841,24
222,30960,34
223,30972,5
224,30972,6
225,31176,34
226,31224,10
227,31424,24
228,31457,7
229,31584,40
230,31617,9
231,32481,4
232,32542,4
233,32588,1
234,32600,7
235,32757,6
236,33161,43
237,33161,42
238,33208,42
239,33208,43
240,33346,16
241,33401,15
242,33410,24
243,34420,24
244,34518,41
245,34737,34
246,34936,7
247,35324,16
248,35439,5
249,35439,6
250,35808,2
251,35938,16
252,36336,41
253,36385,16
254,36527,16
255,36759,6
256,36768,24
257,37412,41
258,37509,22
259,37809,17
260,37834,24
261,37860,4
262,37920,7
263,37932,41
264,38319,15
265,38605,13
266,38674,6
267,38758,34
268,38898,1
269,39231,24
270,39241,40
271,39266,41
272,40021,18
273,40153,24
274,40193,42
275,40193,43
276,40746,37
277,40746,38
278,41129,24
279,42069,43
280,42069,42
281,42098,40
282,42347,24
283,42443,2
284,42618,16
285,42770,22
286,42897,24
287,42954,24
288,43120,16
289,43369,41
290,43377,6
291,43422,5
292,43437,34
293,43463,35
294,43608,13
295,44049,16
296,44055,13
297,44093,7
298,44112,42
299,44203,16
300,44540,6
301,45083,4
302,45249,16
303,45541,7
304,45661,10
305,45836,24
306,46568,39
307,46633,16
308,46875,16
309,47124,13
310,47134,16
311,47205,43
312,47288,41
313,47676,24
314,47859,7
315,47876,24
316,48351,40
317,48390,16
318,48462,16
319,48978,17
320,49060,7
321,49538,13
322,49626,43
323,49655,16
324,49667,16
325,49884,24
326,319,32
327,395,32
328,410,31
329,538,31
330,1162,33
331,1216,32
332,1234,33
333,1254,33
334,1754,33
335,1798,32
336,1798,31
337,1810,32
338,1941,33
339,1977,33
340,2259,33
341,2529,33
342,2617,32
343,2713,33
344,2728,33
345,2743,33
346,2862,33
347,3182,32
348,3252,32
349,3456,32
350,3456,31
351,3510,33
352,3524,33
353,3873,33
354,4357,12
355,4576,12
356,4576,11
357,4813,11
358,5236,12
359,5236,11
360,5292,11
361,5293,11
362,5293,12
363,5515,11
364,5700,11
365,5729,12
366,5729,11
367,5811,11
368,5849,12
369,5881,11
370,6682,11
371,7081,11
372,7106,11
373,7108,11
374,7369,11
375,7392,11
376,7392,12
377,7462,11
378,7704,11
379,7767,11
380,7835,11
381,8209,12
382,8534,19
383,8534,20
384,8553,20
385,8563,20
386,8563,19
387,8568,19
388,8573,20
389,8657,20
390,8669,20
391,8678,19
392,8685,19
393,8685,20
394,8702,19
395,8732,19
396,8787,20
397,8787,19
398,8791,20
399,8796,20
400,8796,19
401,8799,19
402,8799,20
403,8802,20
404,8819,20
405,8851,19
406,8851,20
407,8862,19
408,8872,20
409,8872,19
410,8875,19
411,8878,20
412,8890,19
413,8895,19
414,8896,19
415,8902,19
416,8919,20
417,8952,19
418,8952,20
419,8954,20
420,8954,19
421,8965,19
422,8968,19
423,8972,19
424,8991,20
425,8999,19
426,9016,20
427,9016,19
428,9038,19
429,9061,19
430,9072,20
431,9072,19
432,9077,19
433,9113,19
434,9113,20
435,9120,19
436,9123,19
437,9125,20
438,9156,20
439,9156,19
440,9158,19
