ArrestID,CaseID,AccusedID,ArrestDate,ArrestType,ArrestingOfficerID
1,14681,1,2026-01-12,Arrested,58
2,26562,2,2026-03-06,Arrested,105
3,13573,3,2025-12-21,Arrested,283
4,2020,4,2025-09-15,Surrender,509
5,17402,5,2025-02-24,Arrested,115
6,42824,6,2026-06-12,Arrested,277
7,45143,7,2025-01-21,Arrested,61
8,31580,8,2025-07-27,Arrested,92
9,22984,9,2025-12-20,Arrested,4
10,42491,10,2025-12-26,Arrested,65
11,33279,11,2024-12-23,Arrested,41
12,34797,12,2026-03-21,Surrender,287
13,36116,13,2026-05-29,Arrested,318
14,36223,14,2024-05-16,Arrested,366
15,41008,15,2024-11-18,Arrested,411
16,48930,16,2024-12-13,Arrested,36
17,27747,17,2025-12-05,Arrested,464
18,33020,18,2023-04-03,Arrested,11
19,32793,19,2024-07-01,Arrested,64
20,20281,20,2025-06-27,Arrested,31
21,14865,21,2025-12-10,Arrested,218
22,4601,22,2025-03-26,Arrested,51
23,48117,23,2023-06-22,Surrender,355
24,31739,24,2023-10-13,Arrested,101
25,45895,25,2023-04-21,Surrender,102
26,17007,26,2025-03-30,Arrested,33
27,10464,27,2026-04-26,Arrested,229
28,7087,28,2025-11-26,Arrested,451
29,25752,29,2023-07-07,Arrested,44
30,38596,30,2024-08-27,Arrested,311
31,4754,31,2023-04-27,Arrested,248
32,35682,32,2025-01-27,Arrested,27
33,48129,33,2023-04-07,Arrested,75
34,31154,34,2023-08-01,Arrested,28
35,9506,35,2025-09-06,Arrested,31
36,25674,36,2024-05-23,Arrested,530
37,18598,37,2024-08-11,Arrested,462
38,23424,38,2025-02-16,Surrender,93
39,30038,39,2024-12-27,Arrested,280
40,47323,40,2024-06-22,Arrested,37
41,35393,41,2023-10-11,Arrested,25
42,11,42,2026-01-25,Arrested,73
43,33347,43,2025-01-27,Arrested,46
44,79,44,2025-07-21,Arrested,88
45,18821,45,2023-07-27,Arrested,31
46,43564,46,2026-06-30,Arrested,211
47,40025,47,2023-08-20,Arrested,21
48,9803,48,2024-02-07,Arrested,373
49,31035,49,2023-10-10,Arrested,112
50,18489,50,2025-11-16,Arrested,10
51,7962,51,2023-02-16,Arrested,11
52,7719,52,2026-06-30,Arrested,290
53,2707,53,2023-05-14,Arrested,112
54,25117,54,2023-07-08,Arrested,49
55,41480,55,2025-09-03,Arrested,4
56,2574,56,2023-08-15,Arrested,225
57,10494,57,2023-08-16,Arrested,21
58,23028,58,2026-06-30,Arrested,22
59,8420,59,2024-04-14,Arrested,61
60,3164,60,2024-05-03,Arrested,268
61,36103,61,2025-12-13,Arrested,253
62,23761,62,2024-04-06,Arrested,335
63,20381,63,2023-02-21,Arrested,35
64,11886,64,2024-05-12,Arrested,106
65,4874,65,2025-07-05,Arrested,41
66,12490,66,2023-09-04,Surrender,65
67,45313,67,2026-05-17,Arrested,369
68,31149,68,2023-10-10,Arrested,100
69,43916,69,2024-10-13,Arrested,65
70,27138,70,2023-05-21,Arrested,277
71,12775,71,2023-05-29,Arrested,487
72,14888,72,2025-02-26,Arrested,52
73,41691,73,2026-04-02,Arrested,283
74,4058,74,2025-04-01,Arrested,92
75,49308,75,2026-06-30,Arrested,89
76,29120,76,2024-04-08,Arrested,116
77,8578,77,2023-10-06,Arrested,8
78,2145,78,2025-09-24,Arrested,253
79,37606,79,2025-09-23,Arrested,9
80,7255,80,2025-12-30,Arrested,99
81,9149,81,2023-04-08,Arrested,10
82,21884,82,2026-01-11,Surrender,90
83,42644,83,2025-03-26,Arrested,474
84,37932,84,2023-12-12,Arrested,5
85,38350,85,2024-09-03,Arrested,14
86,39923,86,2026-01-20,Arrested,211
87,20900,87,2024-10-13,Arrested,84
88,23376,88,2023-05-07,Surrender,330
89,34231,89,2025-07-28,Arrested,9
90,12924,90,2024-02-27,Arrested,111
91,20498,91,2025-08-03,Arrested,7
92,38898,92,2023-07-27,Arrested,6
93,2485,93,2024-02-20,Arrested,286
94,33675,94,2025-09-03,Arrested,410
95,14008,95,2026-04-22,Arrested,51
96,13282,96,2025-03-09,Arrested,447
97,32473,97,2023-09-22,Arrested,115
98,3067,98,2024-07-29,Arrested,94
99,859,99,2023-10-17,Arrested,377
100,2613,100,2026-02-08,Arrested,26
101,39357,101,2025-10-11,Surrender,105
102,35603,102,2025-08-13,Arrested,285
103,1586,103,2025-03-19,Arrested,111
104,1115,104,2024-11-13,Surrender,366
105,39013,105,2025-12-20,Surrender,66
106,3175,106,2025-07-28,Arrested,28
107,8707,107,2026-01-03,Arrested,21
108,37617,108,2024-11-26,Arrested,90
109,24460,109,2025-12-20,Arrested,36
110,42680,110,2024-08-26,Arrested,77
111,41804,111,2026-01-24,Arrested,65
112,39395,112,2026-06-30,Surrender,254
113,11469,113,2025-10-15,Arrested,11
114,44224,114,2025-10-29,Surrender,21
115,40327,115,2024-04-24,Arrested,119
116,41161,116,2025-10-11,Arrested,482
117,1444,117,2025-02-06,Arrested,236
118,30768,118,2025-12-08,Arrested,290
119,35492,119,2024-03-30,Arrested,18
120,5055,120,2026-02-21,Arrested,235
121,2162,121,2025-07-21,Surrender,390
122,49020,122,2023-04-27,Arrested,106
123,8755,123,2024-05-31,Surrender,9
124,31494,124,2023-05-01,Arrested,103
125,27542,125,2025-03-21,Arrested,464
126,32804,126,2023-05-16,Arrested,38
127,473,127,2024-11-30,Surrender,52
128,9465,128,2026-06-25,Arrested,522
129,33141,129,2024-10-01,Surrender,326
130,28477,130,2024-10-01,Surrender,113
131,47118,131,2025-02-06,Surrender,8
132,12703,132,2024-06-16,Arrested,327
133,1983,133,2025-05-28,Arrested,275
134,43518,134,2025-04-14,Arrested,284
135,4697,135,2026-06-30,Surrender,221
136,10865,136,2026-02-22,Arrested,96
137,6062,137,2025-12-16,Surrender,3
138,41432,138,2026-05-02,Arrested,228
139,24591,139,2023-05-07,Surrender,85
140,21364,140,2025-12-26,Surrender,77
141,27525,141,2024-07-05,Arrested,114
142,49711,142,2025-07-25,Arrested,29
143,33895,143,2024-02-11,Arrested,15
