CaseID,CrimeNo,CaseNo,UnitID,DistrictID,CaseCategoryID,CrimeHeadID,CrimeSubHeadID,GravityOffenceID,CaseStatusID,IOEmployeeID,CourtID,RegistrationDate,IsAnomaly,AnomalyType
269,100010001202300001,202300001,1,1,1,6,19,2,4,1,1,2023-10-06,0,
310,100010001202300002,202300002,1,1,1,6,18,2,2,5,2,2023-08-30,0,
709,100010001202300003,202300003,1,1,1,6,18,2,1,1,1,2023-01-23,0,
930,100010001202300004,202300004,1,1,1,6,19,2,4,8,2,2023-07-11,0,
1222,100010001202300005,202300005,1,1,1,6,19,2,5,1,1,2023-09-10,0,
1259,100010001202300006,202300006,1,1,1,6,19,2,1,5,2,2023-02-16,0,
1804,100010001202300007,202300007,1,1,1,6,18,2,5,6,2,2023-11-10,0,
1898,100010001202300008,202300008,1,1,1,6,19,2,1,4,1,2023-06-15,0,
1994,100010001202300009,202300009,1,1,1,6,18,2,5,4,1,2023-03-08,0,
2391,100010001202300010,202300010,1,1,1,6,18,2,4,4,2,2023-08-10,0,
2727,100010001202300011,202300011,1,1,1,6,18,2,1,7,2,2023-04-03,0,
2881,100010001202300012,202300012,1,1,1,6,19,2,5,7,1,2023-05-13,0,
4162,100010001202300013,202300013,1,1,1,2,6,2,5,1,1,2023-11-15,0,
4281,100010001202300014,202300014,1,1,1,2,6,2,4,2,2,2023-07-21,0,
4485,100010001202300015,202300015,1,1,1,2,7,2,5,8,1,2023-03-06,0,
4957,100010001202300016,202300016,1,1,1,2,7,2,2,5,1,2023-06-09,0,
4959,100010001202300017,202300017,1,1,1,2,7,2,5,1,2,2023-02-01,0,
5509,100010001202300018,202300018,1,1,1,2,7,2,5,8,1,2023-12-07,0,
6109,100010001202300019,202300019,1,1,1,2,7,2,1,4,1,2023-04-23,0,
6197,100010001202300020,202300020,1,1,1,2,6,2,5,3,2,2023-10-12,0,
6210,100010001202300021,202300021,1,1,1,2,7,2,5,6,2,2023-06-02,0,
6263,100010001202300022,202300022,1,1,1,2,6,2,2,6,1,2023-02-09,0,
6456,100010001202300023,202300023,1,1,1,2,6,2,5,5,1,2023-10-12,0,
6858,100010001202300024,202300024,1,1,1,2,7,2,5,3,2,2023-10-25,0,
8207,100010001202300025,202300025,1,1,1,2,7,2,2,5,2,2023-02-02,0,
8225,100010001202300026,202300026,1,1,1,2,6,2,1,6,1,2023-04-10,0,
8356,100010001202300027,202300027,1,1,1,2,7,2,5,5,1,2023-04-03,0,
8458,100010001202300028,202300028,1,1,1,2,7,2,5,1,1,2023-06-01,0,
8501,100010001202300029,202300029,1,1,1,8,23,1,4,6,2,2023-12-24,0,
8514,100010001202300030,202300030,1,1,1,8,23,1,1,7,1,2023-05-17,0,
8526,100010001202300031,202300031,1,1,1,8,23,1,1,7,1,2023-09-02,0,
8536,100010001202300032,202300032,1,1,1,8,24,1,1,4,1,2023-09-09,0,
8539,100010001202300033,202300033,1,1,1,8,23,1,1,4,2,2023-08-12,0,
