CSID,CaseID,CSType,CSDate,CourtID,JudgeName
1,269,C,2024-02-19,1,Shri S.R. Naik
2,310,A,2024-02-02,2,Smt. N. Hegde
3,930,C,2023-09-06,2,Shri Y. Manjunath
4,1222,B,2023-11-21,1,Smt. K. Latha
5,1804,B,2023-12-30,2,Shri R.K. Kulkarni
6,1994,B,2023-07-06,1,Shri B.N. Prasad
7,2391,C,2023-09-29,2,Shri M.V. Reddy
8,2881,B,2023-09-01,1,Smt. D. Savitha
9,4162,B,2024-04-16,1,Shri M.V. Reddy
10,4281,C,2023-11-12,2,Smt. V. Patil
11,4485,B,2023-05-19,1,Shri S.R. Naik
12,4957,A,2023-09-08,1,Shri T.G. Rao
13,4959,B,2023-05-17,2,Shri S.R. Naik
14,5509,B,2024-02-21,1,Shri A. Krishnamurthy
15,6197,B,2023-11-27,2,Shri Y. Manjunath
16,6210,B,2023-08-09,2,Smt. D. Savitha
17,6263,A,2023-04-24,1,Shri A. Krishnamurthy
18,6456,B,2023-11-16,1,Smt. R. Sumathi
19,6858,B,2024-03-20,2,Shri R.K. Kulkarni
20,8207,A,2023-05-06,2,Shri S.R. Naik
21,8356,B,2023-06-10,1,Smt. J. Anitha
22,8458,B,2023-09-24,1,Shri T.G. Rao
23,8501,C,2024-02-28,2,Smt. N. Hegde
24,8565,B,2023-05-02,2,Shri R.K. Kulkarni
25,8572,B,2023-07-13,1,Shri R.K. Kulkarni
26,8591,B,2023-10-01,2,Smt. V. Patil
27,8599,A,2024-01-29,2,Shri T.G. Rao
28,8624,B,2024-01-31,1,Shri R.K. Kulkarni
29,8640,B,2024-03-17,2,Smt. R. Sumathi
30,8690,B,2023-07-20,1,Shri A. Krishnamurthy
31,8697,A,2024-05-24,1,Shri A. Krishnamurthy
32,8714,A,2023-05-01,2,Shri B.N. Prasad
33,8718,B,2023-08-13,1,Shri S.R. Naik
34,8743,A,2024-03-05,1,Shri S.R. Naik
35,8763,B,2023-07-30,2,Shri A. Krishnamurthy
36,8789,A,2023-08-24,1,Smt. V. Patil
37,8809,B,2023-04-09,2,Shri T.G. Rao
38,8834,B,2023-09-27,1,Shri S.R. Naik
39,8838,B,2024-01-14,1,Shri R.K. Kulkarni
40,8858,B,2023-11-13,2,Smt. N. Hegde
41,8864,A,2024-02-28,1,Smt. P. Sridevi
42,8942,B,2023-05-23,1,Shri R.K. Kulkarni
43,8960,A,2023-06-01,1,Shri S.R. Naik
44,8966,B,2024-05-28,2,Smt. P. Sridevi
45,8970,A,2024-05-09,2,Smt. R. Sumathi
46,8973,A,2023-04-30,1,Shri S.R. Naik
47,9009,C,2023-12-12,1,Shri A. Krishnamurthy
48,9020,B,2023-12-24,2,Smt. V. Patil
49,9031,B,2023-08-21,2,Smt. D. Savitha
50,9033,B,2023-07-04,2,Shri T.G. Rao
51,9043,A,2023-08-25,2,Shri Y. Manjunath
52,9047,B,2023-10-23,1,Smt. K. Latha
53,9051,B,2023-06-20,1,Shri M.V. Reddy
54,9056,A,2023-10-28,2,Shri Y. Manjunath
55,9067,B,2023-09-08,1,Smt. R. Sumathi
56,9069,A,2023-06-13,2,Shri T.G. Rao
57,9075,B,2024-02-07,2,Smt. D. Savitha
58,9111,A,2023-09-04,1,Smt. K. Latha
59,9124,A,2023-07-30,2,Smt. D. Savitha
60,9157,B,2023-06-11,2,Shri R.K. Kulkarni
61,9167,B,2023-10-31,1,Shri S.R. Naik
62,9169,A,2023-11-21,1,Smt. J. Anitha
63,9358,A,2023-11-12,1,Smt. R. Sumathi
64,9603,C,2024-01-28,1,Smt. N. Hegde
65,10232,C,2023-09-21,2,Smt. K. Latha
66,10596,A,2023-10-12,1,Smt. V. Patil
67,10800,B,2023-11-04,1,Shri A. Krishnamurthy
68,10859,A,2023-10-27,1,Shri T.G. Rao
69,11565,B,2023-06-14,2,Shri B.N. Prasad
70,11864,A,2024-01-17,2,Shri B.N. Prasad
71,11889,B,2024-05-15,2,Shri Y. Manjunath
72,12162,A,2024-03-01,1,Shri R.K. Kulkarni
73,12407,B,2023-03-28,2,Smt. D. Savitha
74,12656,B,2023-07-19,2,Smt. D. Savitha
75,13314,A,2023-08-01,1,Shri R.K. Kulkarni
76,13621,B,2024-02-06,2,Smt. V. Patil
77,13709,A,2023-10-07,1,Shri A. Krishnamurthy
78,13719,C,2023-07-08,2,Shri Y. Manjunath
79,13797,B,2024-03-20,2,Shri P.K. Sharma
80,14107,A,2023-11-27,1,Smt. D. Savitha
81,14260,B,2023-06-16,1,Shri R.K. Kulkarni
82,14624,A,2024-03-05,1,Shri R.K. Kulkarni
83,14640,C,2023-11-17,2,Shri R.K. Kulkarni
84,15439,B,2023-07-04,1,Smt. P. Sridevi
85,15494,B,2024-04-29,1,Shri M.V. Reddy
86,15543,A,2024-01-23,1,Smt. R. Sumathi
87,16362,B,2023-06-02,1,Smt. D. Savitha
88,16556,B,2023-05-14,2,Smt. P. Sridevi
89,17045,B,2023-06-01,1,Shri Y. Manjunath
90,17145,B,2024-02-04,2,Shri Y. Manjunath
91,17296,B,2023-12-08,1,Smt. R. Sumathi
92,17401,B,2023-08-12,1,Shri T.G. Rao
93,18212,A,2023-08-24,2,Shri Y. Manjunath
94,18282,A,2023-08-31,1,Shri R.K. Kulkarni
95,18726,B,2023-09-13,2,Shri M.V. Reddy
96,18729,A,2024-01-07,1,Shri B.N. Prasad
97,19551,C,2023-08-19,2,Shri S.R. Naik
98,20172,C,2024-04-08,1,Smt. P. Sridevi
99,20191,B,2023-09-28,2,Smt. D. Savitha
100,20861,B,2023-10-24,2,Smt. D. Savitha
101,21039,A,2023-10-27,2,Smt. N. Hegde
102,21056,B,2023-10-10,2,Shri T.G. Rao
103,21688,B,2023-07-13,2,Shri B.N. Prasad
104,21808,C,2023-08-22,2,Shri B.N. Prasad
105,22481,A,2023-11-17,1,Smt. N. Hegde
106,23051,C,2023-05-04,1,Shri T.G. Rao
107,23070,B,2023-10-15,1,Smt. J. Anitha
108,23184,A,2024-03-24,2,Shri S.R. Naik
109,23475,A,2024-02-02,2,Shri P.K. Sharma
110,23538,B,2024-02-23,1,Shri S.R. Naik
111,23608,B,2023-07-10,1,Shri B.N. Prasad
112,23732,B,2023-08-18,1,Shri T.G. Rao
113,24019,B,2023-05-13,2,Shri S.R. Naik
114,24030,B,2023-03-27,1,Shri A. Krishnamurthy
115,24058,B,2023-06-13,2,Shri A. Krishnamurthy
116,24742,B,2023-08-17,1,Shri Y. Manjunath
117,24907,B,2023-07-31,1,Smt. V. Patil
