DistrictID,Population,PopulationDensity,UrbanizationLevel,ChargesheetRate
1,13600000,3200,Urban,0.2166
2,1200000,290,Peri-urban,0.2337
3,3300000,420,Urban,0.2564
4,2200000,460,Urban,0.2151
5,5000000,570,Semi-urban,0.2153
6,2600000,310,Semi-urban,0.2469
7,1900000,700,Semi-urban,0.247
8,2500000,350,Semi-urban,0.2735
9,2200000,240,Rural,0.1657
10,1800000,280,Semi-urban,0.1803
11,2700000,320,Semi-urban,0.1931
12,1900000,220,Rural,0.277
13,1700000,170,Rural,0.2788
14,2000000,380,Semi-urban,0.2357
15,2000000,200,Rural,0.2304
16,1700000,230,Rural,0.1954
17,1900000,200,Rural,0.2012
18,1100000,240,Rural,0.1966
19,1600000,230,Rural,0.2459
20,1500000,110,Rural,0.1945
21,1200000,100,Rural,0.1841
22,2100000,320,Rural,0.2094
23,1100000,140,Rural,0.248
24,550000,120,Rural,0.2362
25,1200000,310,Coastal,0.2072
26,1300000,220,Rural,0.2805
27,1700000,250,Semi-urban,0.2364
28,1200000,220,Rural,0.2716
29,1200000,170,Rural,0.2696
30,1400000,210,Rural,0.242
31,1600000,220,Rural,0.2145
